,Date,content,change
0,2010-04-18,금융상품 인증 우대금리 구매 어치 적립 단체 분할 입금 설정 본인 이용자 제출 근무 임직원 소속 회원 변동 단위 신용카드 협의 교통,0.0
1,2010-04-19,금융상품 인증 우대금리 구매 어치 적립 단체 분할 입금 설정 본인 이용자 제출 근무 임직원 소속 회원 변동 단위 신용카드 협의 교통,-0.009375
2,2010-04-23,사업자 하이닉스 역대 전반적 호조 견인 부가 공정 아이비케이투자증권 선전 디스플레이 기조 급증 배경 여의도,0.04290429
3,2010-04-25,한국투자증권 라운드 설정 잔액 장비 포스 한국전력 자문 사가 포트폴리오 기본 편입 초과 추구 조기 중도 우대금리 협의 이내 단위 원화 뱅킹 대신증권 등락 설계 개별 교체 보수 아이비케이투자증권 고정 변동 금융위기 저금리 금리인상 연장 분할 회원 마켓 쇼핑 마트 브랜드 전화,0.04290429
4,2010-04-26,한국투자증권 라운드 설정 잔액 장비 포스 한국전력 자문 사가 포트폴리오 기본 편입 초과 추구 조기 중도 우대금리 협의 이내 단위 원화 뱅킹 대신증권 등락 설계 개별 교체 보수 아이비케이투자증권 보장 의료 회원 마켓 쇼핑 마트 브랜드 전화,0.0
6,2010-05-07,투자은행 골드 이해 접근 유명 보험사 이야기 파생 독일 구매 금융위기 수상 직전 자문 하면서 부서 통해 부실 실현 금융기관,0.025454545
7,2010-05-10,지식 전보 가스 체육 관광 승진 행정 재정 진흥 강원 학교 소장 단장 창원 일보 차장 서울대 퇴직 광고 임기 제작 보도,0.007092199
8,2010-05-11,지식 전보 가스 체육 관광 승진 행정 재정 진흥 강원 학교 임원 소장 단장 서울대 창원 일보 퇴직 차장 임기 제작 보도 광고,-0.024647887
9,2010-05-16,통장 선물 면제 청약 서민 퇴직 신탁 송금 기기 여신 감면 기업인 제휴 자녀 임직원,-0.0609319
10,2010-05-17,재정 금융시장 뉴욕 하이투자증권 도시 소식 상승률 신용등급 우리나라 하향 형성 체육 자원 개사 이익률 수치 설비 종가 유일 원인 고정 개별 점유율 성장세 상장사 증권업계 접근 선물 면제 통장 청약 서민 퇴직 신탁 송금 기기 여신 감면 기업인 제휴 자녀 임직원,0.019083969
11,2010-05-18,재정 금융시장 뉴욕 하이투자증권 도시 소식 상승률 신용등급 우리나라 하향,-0.029962547000000003
12,2010-05-30,등락 이체 움직임 설계,-0.003745318
13,2010-05-31,등락 이체 움직임 설계,0.026315789
14,2010-06-03,세대 움직임 사태 구조조정 실질적 민간 포스 설치 퇴직 설정 맞춤 맞춤형 성공률 설계 디자인 개설 외부 차별화 제휴 공유 참가 시도 급여 지점장 여명 단순 여신 방지 수행 프로젝트 절반 반응 중기 임금 충격 공기업 아이비케이기업은행 단위 근무 노조 거론 임원 차원 공헌 제고,-0.027303754
15,2010-06-14,장세 박스권 등락 재정 여파 지연 편입 미만 규정 범위 이외 파생 강점 보수 설정 아이비케이투자증권 방어 보장 코스피지수 초과,-0.016778523
16,2010-06-17,내수 인도 러시아 재정 대외 마이너스 주간 단위 등락 침체 성장률,0.0
17,2010-06-18,러시아 인도 재정 대외 마이너스 주간 단위 등락 침체 성장률 내수,0.016835017
18,2010-06-20,아이디어 바닥 마이너스 고민 마찬가지 적립 결합 움직임 이체 설정 변동 단위 반응 원금 보장 추구 금융상품 특징 코스피지수 씨티 스타트 마트 설계 반대 장점 고정 이내 전화,0.016835017
19,2010-06-21,바닥 마이너스 고민 마찬가지 아이디어 적립 결합 움직임 이체 설정 변동 단위 반응 원금 보장 추구 금융상품 특징 코스피지수 씨티 스타트 마트 설계 반대 장점 고정 이내 전화,0.0
20,2010-06-23,등락 이체 움직임 설계 적립 아래 변경 처리 전화 아이디어,0.006711409000000001
21,2010-06-24,등락 이체 움직임 설계 적립 아래 변경 처리 전화 아이디어 파악 통장 급여 충족 기기 면제 신용카드 금융상품,-0.003333333
22,2010-06-29,소액 급여 통장 설계 잔액 설정 변경 이체 기기 면제 전화 개월간 국면 특정 구매 시도 건강 식품 브랜드 차별화 공장 가동 신탁 맞춤 화장품 합의 금융회사 당초 사모 이내 허용 파생 본사 금융시장 유동성 위축 인정 수급 장기적 해석 매력 증권업계,-0.013605441999999999
23,2010-06-30,국면 특정 구매 시도 건강 식품 브랜드 차별화 공장 가동 급여 통장 소액 설계 신탁 맞춤 화장품 잔액 설정 변경 이체 기기 면제 전화 개월간,-0.006896551999999999
24,2010-07-02,예술 하면서 사회적 공헌 공연 공간 목소리 복합 전당 미디어 기업인 제이 업무협약 부여 사랑 후원 소외 연주 국립 체육 진흥 올림픽 브랜드 내부 광고 단체 관광 부가 이해 예산 민간 보수 뉴욕 계기 정상,-0.041666667000000004
25,2010-07-05,호재 개막 상장사 공식 수치 포스 디스플레이 하이닉스 증권업계 추정치 수혜 주인 안팎 현대차 가이드 본사 전반적 전화 급증 한국전력 성장세 정보기술 관측 경제연구소 철강 축소 기계 석유,0.007246376999999999
26,2010-07-12,한국은행 저금리 금리인상 수혜 원화 원달러 삼성증권 대한항공 내수 마진 수입 상승률 코스피지수 등락 기조 부채 철강 피해 구매 소비 위축 차익 실현 문의 부정적 반응 대외 변수 존재 위주,0.0
27,2010-07-13,청년 한번 행복 기업은행장 제안 행장 소식 전화 시험 대한민국 민국 제일 아래,0.019607843
28,2010-07-14,마트 의료 쇼핑 소비 성향 대금 영화 통장 기계,0.009615385
29,2010-07-18,공공기관 파악 라인 논란 국책 계열 시절 접수 수석 한국은행 노동 대선 자문 대외 통상 연합 민간 금융사 금융지주 근무 임기 신한금융투자 지식 공기업 강원 랜드 누구 이해 이사장 후원 국립 장관 인도 재단 단장 과제 조치 부실 검증 책임 취임 차장 공식,-0.044728435
30,2010-07-19,공공기관 파악 라인 논란 국책 계열 시절 접수 대선 여의도 전무 회수 자문 연합 수석 한국은행 노동 민간 금융사 금융지주 근무 임기 신한금융투자 지식 공기업 강원 랜드 누구 이해 이사장 후원 국립 장관 인도 재단 단장 과제 조치 부실 검증 책임 취임 차장 공식 씨티,0.003344482
31,2010-07-20,개막 위치 원가 연장 제이 오픈 마트,-0.02
32,2010-07-21,개막 위치 원가 연장 제이 오픈 마트,-0.017006803
33,2010-08-01,하락세 개월간 마이너스 통장 골드 이제 금융상품 선호 금융사 금융시장 국면 단위 개설 선물,-0.003194888
34,2010-08-02,개월간 마이너스 통장 골드 이제 금융상품 선호 금융사 금융시장 국면 단위 개설 선물,-0.019230768999999998
35,2010-08-11,개별 이틀 수혜 유망 장관 신임 의료 전일 플레이 섰다 세계적 러시아 중단 소식 수입 호재 등장 마찬가지 움직임,-0.013333333000000001
38,2010-08-18,회계 당기 당기순이익 직전 수지 사가 대금 수입 금감원 재정 여파 등락 사의 흑자,0.026755853
